,length,width,height,horsepower,engine-location,curb-weight,engine-size,peak-rpm,targets(body-style)
0,168.8,64.1,48.8,111,front,2548,130,5000,convertible
1,168.8,64.1,48.8,111,front,2548,130,5000,convertible
2,171.2,65.5,52.4,154,front,2823,152,5000,hatchback
3,176.6,66.2,54.3,102,front,2337,109,5500,sedan
4,176.6,66.4,54.3,115,front,2824,136,5500,sedan
5,177.3,66.3,53.1,110,front,2507,136,5500,sedan
6,192.7,71.4,55.7,110,front,2844,136,5500,sedan
7,192.7,71.4,55.7,110,front,2954,136,5500,wagon
8,192.7,71.4,55.9,140,front,3086,131,5500,sedan
9,178.2,67.9,52.0,160,front,3053,131,5500,hatchback
10,176.8,64.8,54.3,101,front,2395,108,5800,sedan
11,176.8,64.8,54.3,101,front,2395,108,5800,sedan
12,176.8,64.8,54.3,121,front,2710,164,4250,sedan
13,176.8,64.8,54.3,121,front,2765,164,4250,sedan
14,189.0,66.9,55.7,121,front,3055,164,4250,sedan
15,189.0,66.9,55.7,182,front,3230,209,5400,sedan
16,193.8,67.9,53.7,182,front,3380,209,5400,sedan
17,197.0,70.9,56.3,182,front,3505,209,5400,sedan
18,141.1,60.3,53.2,48,front,1488,61,5100,hatchback
19,155.9,63.6,52.0,70,front,1874,90,5400,hatchback
20,158.8,63.6,52.0,70,front,1909,90,5400,sedan
21,157.3,63.8,50.8,68,front,1876,90,5500,hatchback
22,157.3,63.8,50.8,68,front,1876,90,5500,hatchback
23,157.3,63.8,50.8,102,front,2128,98,5500,hatchback
24,157.3,63.8,50.6,68,front,1967,90,5500,hatchback
25,157.3,63.8,50.6,68,front,1989,90,5500,sedan
26,157.3,63.8,50.6,68,front,1989,90,5500,sedan
27,157.3,63.8,50.6,102,front,2191,98,5500,sedan
28,174.6,64.6,59.8,88,front,2535,122,5000,wagon
29,173.2,66.3,50.2,145,front,2811,156,5000,hatchback
30,144.6,63.9,50.8,58,front,1713,92,4800,hatchback
31,144.6,63.9,50.8,76,front,1819,92,6000,hatchback
32,150.0,64.0,52.6,60,front,1837,79,5500,hatchback
33,150.0,64.0,52.6,76,front,1940,92,6000,hatchback
34,150.0,64.0,52.6,76,front,1956,92,6000,hatchback
35,163.4,64.0,54.5,76,front,2010,92,6000,sedan
36,157.1,63.9,58.3,76,front,2024,92,6000,wagon
37,167.5,65.2,53.3,86,front,2236,110,5800,hatchback
38,167.5,65.2,53.3,86,front,2289,110,5800,hatchback
39,175.4,65.2,54.1,86,front,2304,110,5800,sedan
40,175.4,62.5,54.1,86,front,2372,110,5800,sedan
41,175.4,65.2,54.1,101,front,2465,110,5800,sedan
42,169.1,66.0,51.0,100,front,2293,110,5500,sedan
43,170.7,61.8,53.5,78,front,2337,111,4800,sedan
44,155.9,63.6,52.0,70,front,1874,90,5400,sedan
45,155.9,63.6,52.0,70,front,1909,90,5400,sedan
46,172.6,65.2,51.4,90,front,2734,119,5000,hatchback
47,199.6,69.6,52.8,176,front,4066,258,4750,sedan
48,199.6,69.6,52.8,176,front,4066,258,4750,sedan
49,191.7,70.6,47.8,262,front,3950,326,5000,sedan
50,159.1,64.2,54.1,68,front,1890,91,5000,hatchback
51,159.1,64.2,54.1,68,front,1900,91,5000,hatchback
52,159.1,64.2,54.1,68,front,1905,91,5000,hatchback
53,166.8,64.2,54.1,68,front,1945,91,5000,sedan
54,166.8,64.2,54.1,68,front,1950,91,5000,sedan
55,169.0,65.7,49.6,101,front,2380,70,6000,hatchback
56,169.0,65.7,49.6,101,front,2380,70,6000,hatchback
57,169.0,65.7,49.6,101,front,2385,70,6000,hatchback
58,169.0,65.7,49.6,135,front,2500,80,6000,hatchback
59,177.8,66.5,53.7,84,front,2385,122,4800,hatchback
60,177.8,66.5,55.5,84,front,2410,122,4800,sedan
61,177.8,66.5,53.7,84,front,2385,122,4800,hatchback
62,177.8,66.5,55.5,84,front,2410,122,4800,sedan
63,177.8,66.5,55.5,64,front,2443,122,4650,sedan
64,177.8,66.5,55.5,84,front,2425,122,4800,hatchback
65,175.0,66.1,54.4,120,front,2670,140,5000,sedan
66,175.0,66.1,54.4,72,front,2700,134,4200,sedan
67,190.9,70.3,56.5,123,front,3515,183,4350,sedan
68,190.9,70.3,58.7,123,front,3750,183,4350,wagon
69,187.5,70.3,54.9,123,front,3495,183,4350,hardtop
70,202.6,71.7,56.3,123,front,3770,183,4350,sedan
71,202.6,71.7,56.5,155,front,3740,234,4750,sedan
72,180.3,70.5,50.8,155,front,3685,234,4750,convertible
73,208.1,71.7,56.7,184,front,3900,308,4500,sedan
74,199.2,72.0,55.4,184,front,3715,304,4500,hardtop
75,178.4,68.0,54.8,175,front,2910,140,5000,hatchback
76,157.3,64.4,50.8,68,front,1918,92,5500,hatchback
77,157.3,64.4,50.8,68,front,1944,92,5500,hatchback
78,157.3,64.4,50.8,68,front,2004,92,5500,hatchback
79,157.3,63.8,50.8,102,front,2145,98,5500,hatchback
80,173.0,65.4,49.4,116,front,2370,110,5500,hatchback
81,173.0,65.4,49.4,88,front,2328,122,5000,hatchback
82,173.2,66.3,50.2,145,front,2833,156,5000,hatchback
83,173.2,66.3,50.2,145,front,2921,156,5000,hatchback
84,173.2,66.3,50.2,145,front,2926,156,5000,hatchback
85,172.4,65.4,51.6,88,front,2365,122,5000,sedan
86,172.4,65.4,51.6,88,front,2405,122,5000,sedan
87,172.4,65.4,51.6,116,front,2403,110,5500,sedan
88,172.4,65.4,51.6,116,front,2403,110,5500,sedan
89,165.3,63.8,54.5,69,front,1889,97,5200,sedan
90,165.3,63.8,54.5,55,front,2017,103,4800,sedan
91,165.3,63.8,54.5,69,front,1918,97,5200,sedan
92,165.3,63.8,54.5,69,front,1938,97,5200,sedan
93,170.2,63.8,53.5,69,front,2024,97,5200,wagon
94,165.3,63.8,54.5,69,front,1951,97,5200,sedan
95,165.6,63.8,53.3,69,front,2028,97,5200,hatchback
96,165.3,63.8,54.5,69,front,1971,97,5200,sedan
97,170.2,63.8,53.5,69,front,2037,97,5200,wagon
98,162.4,63.8,53.3,69,front,2008,97,5200,hardtop
99,173.4,65.2,54.7,97,front,2324,120,5200,hatchback
100,173.4,65.2,54.7,97,front,2302,120,5200,sedan
101,181.7,66.5,55.1,152,front,3095,181,5200,sedan
102,184.6,66.5,56.1,152,front,3296,181,5200,wagon
103,184.6,66.5,55.1,152,front,3060,181,5200,sedan
104,170.7,67.9,49.7,160,front,3071,181,5200,hatchback
105,170.7,67.9,49.7,200,front,3139,181,5200,hatchback
106,178.5,67.9,49.7,160,front,3139,181,5200,hatchback
107,186.7,68.4,56.7,97,front,3020,120,5000,sedan
108,186.7,68.4,56.7,95,front,3197,152,4150,sedan
109,198.9,68.4,58.7,97,front,3230,120,5000,wagon
110,198.9,68.4,58.7,95,front,3430,152,4150,wagon
111,186.7,68.4,56.7,95,front,3075,120,5000,sedan
112,186.7,68.4,56.7,95,front,3252,152,4150,sedan
113,198.9,68.4,56.7,95,front,3285,120,5000,wagon
114,198.9,68.4,58.7,95,front,3485,152,4150,wagon
115,186.7,68.4,56.7,97,front,3075,120,5000,sedan
116,186.7,68.4,56.7,95,front,3252,152,4150,sedan
117,186.7,68.3,56.0,142,front,3130,134,5600,sedan
118,157.3,63.8,50.8,68,front,1918,90,5500,hatchback
119,157.3,63.8,50.8,102,front,2128,98,5500,hatchback
120,157.3,63.8,50.6,68,front,1967,90,5500,hatchback
121,167.3,63.8,50.8,68,front,1989,90,5500,sedan
122,167.3,63.8,50.8,68,front,2191,98,5500,sedan
123,174.6,64.6,59.8,88,front,2535,122,5000,wagon
124,173.2,66.3,50.2,145,front,2818,156,5000,hatchback
125,168.9,68.3,50.2,143,front,2778,151,5500,hatchback
126,168.9,65.0,51.6,207,rear,2756,194,5900,hardtop
127,168.9,65.0,51.6,207,rear,2756,194,5900,hardtop
128,168.9,65.0,51.6,207,rear,2800,194,5900,convertible
129,175.7,72.3,50.5,288,front,3366,203,5750,hatchback
130,181.5,66.5,55.2,?,front,2579,132,?,wagon
131,176.8,66.6,50.5,?,front,2460,132,?,hatchback
132,186.6,66.5,56.1,110,front,2658,121,5250,hatchback
133,186.6,66.5,56.1,110,front,2695,121,5250,sedan
134,186.6,66.5,56.1,110,front,2707,121,5250,hatchback
135,186.6,66.5,56.1,110,front,2758,121,5250,sedan
136,186.6,66.5,56.1,160,front,2808,121,5500,hatchback
137,186.6,66.5,56.1,160,front,2847,121,5500,sedan
138,156.9,63.4,53.7,69,front,2050,97,4900,hatchback
139,157.9,63.6,53.7,73,front,2120,108,4400,hatchback
140,157.3,63.8,55.7,73,front,2240,108,4400,hatchback
141,172.0,65.4,52.5,82,front,2145,108,4800,sedan
142,172.0,65.4,52.5,82,front,2190,108,4400,sedan
143,172.0,65.4,52.5,94,front,2340,108,5200,sedan
144,172.0,65.4,54.3,82,front,2385,108,4800,sedan
145,172.0,65.4,54.3,111,front,2510,108,4800,sedan
146,173.5,65.4,53.0,82,front,2290,108,4800,wagon
147,173.5,65.4,53.0,94,front,2455,108,5200,wagon
148,173.6,65.4,54.9,82,front,2420,108,4800,wagon
149,173.6,65.4,54.9,111,front,2650,108,4800,wagon
150,158.7,63.6,54.5,62,front,1985,92,4800,hatchback
151,158.7,63.6,54.5,62,front,2040,92,4800,hatchback
152,158.7,63.6,54.5,62,front,2015,92,4800,hatchback
153,169.7,63.6,59.1,62,front,2280,92,4800,wagon
154,169.7,63.6,59.1,62,front,2290,92,4800,wagon
155,169.7,63.6,59.1,62,front,3110,92,4800,wagon
156,166.3,64.4,53.0,70,front,2081,98,4800,sedan
157,166.3,64.4,52.8,70,front,2109,98,4800,hatchback
158,166.3,64.4,53.0,56,front,2275,110,4500,sedan
159,166.3,64.4,52.8,56,front,2275,110,4500,hatchback
160,166.3,64.4,53.0,70,front,2094,98,4800,sedan
161,166.3,64.4,52.8,70,front,2122,98,4800,hatchback
162,166.3,64.4,52.8,70,front,2140,98,4800,sedan
163,168.7,64.0,52.6,70,front,2169,98,4800,sedan
164,168.7,64.0,52.6,70,front,2204,98,4800,hatchback
165,168.7,64.0,52.6,112,front,2265,98,6600,sedan
166,168.7,64.0,52.6,112,front,2300,98,6600,hatchback
167,176.2,65.6,52.0,116,front,2540,146,4800,hardtop
168,176.2,65.6,52.0,116,front,2536,146,4800,hardtop
169,176.2,65.6,52.0,116,front,2551,146,4800,hatchback
170,176.2,65.6,52.0,116,front,2679,146,4800,hardtop
171,176.2,65.6,52.0,116,front,2714,146,4800,hatchback
172,176.2,65.6,53.0,116,front,2975,146,4800,convertible
173,175.6,66.5,54.9,92,front,2326,122,4200,sedan
174,175.6,66.5,54.9,73,front,2480,110,4500,sedan
175,175.6,66.5,53.9,92,front,2414,122,4200,hatchback
176,175.6,66.5,54.9,92,front,2414,122,4200,sedan
177,175.6,66.5,53.9,92,front,2458,122,4200,hatchback
178,183.5,67.7,52.0,161,front,2976,171,5200,hatchback
179,183.5,67.7,52.0,161,front,3016,171,5200,hatchback
180,187.8,66.5,54.1,156,front,3131,171,5200,sedan
181,187.8,66.5,54.1,156,front,3151,161,5200,wagon
182,171.7,65.5,55.7,52,front,2261,97,4800,sedan
183,171.7,65.5,55.7,85,front,2209,109,5250,sedan
184,171.7,65.5,55.7,52,front,2264,97,4800,sedan
185,171.7,65.5,55.7,85,front,2212,109,5250,sedan
186,171.7,65.5,55.7,85,front,2275,109,5250,sedan
187,171.7,65.5,55.7,68,front,2319,97,4500,sedan
188,171.7,65.5,55.7,100,front,2300,109,5500,sedan
189,159.3,64.2,55.6,90,front,2254,109,5500,convertible
190,165.7,64.0,51.4,90,front,2221,109,5500,hatchback
191,180.2,66.9,55.1,110,front,2661,136,5500,sedan
192,180.2,66.9,55.1,68,front,2579,97,4500,sedan
193,183.1,66.9,55.1,88,front,2563,109,5500,wagon
194,188.8,67.2,56.2,114,front,2912,141,5400,sedan
195,188.8,67.2,57.5,114,front,3034,141,5400,wagon
196,188.8,67.2,56.2,114,front,2935,141,5400,sedan
197,188.8,67.2,57.5,114,front,3042,141,5400,wagon
198,188.8,67.2,56.2,162,front,3045,130,5100,sedan
199,188.8,67.2,57.5,162,front,3157,130,5100,wagon
200,188.8,68.9,55.5,114,front,2952,141,5400,sedan
201,188.8,68.8,55.5,160,front,3049,141,5300,sedan
202,188.8,68.9,55.5,134,front,3012,173,5500,sedan
203,188.8,68.9,55.5,106,front,3217,145,4800,sedan
204,188.8,68.9,55.5,114,front,3062,141,5400,sedan
